Titre,Prix,Nombre de pieces,Type,Adresse,Secteur,Surface totale en m^2,Salons,Salles de bain,Etage,Age du bien,Superficie habitable,Frais de syndic / mois,Garage,Securite,Meuble,Climatisation,Chauffage,Parking,Concierge,Piscine,Jardin,Loti,Cuisine equipee,Terrasse,Ascenseur,Balcon
appartement 90 m2 mahdia haut finition,410000.0,2.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
appart 4pieces 78m face atacadaou ain sebaa,610000.0,4.0,Appartements,,Ain Sebaa,78 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain R4 en Vente à Temara Wifak,1800000.0,,Terrains et Fermes,,Wifak,188 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
appart 4pieces 78m face atacadaou ain sebaa,610000.0,4.0,Appartements,,Ain Sebaa,78 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Bureaux de 62à160m2 Ain sebaa,530000.0,4.0,Bureaux et Plateaux,,Ain Sebaa,73 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 88 m2 SIDI RAHAL,560000.0,2.0,Appartements,,Toute la ville,88 , 1,2,0.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
appart 4pieces en face atacadaou ain sebaa,850000.0,4.0,Appartements,,Ain Sebaa,108 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
بقع أرضية بمدينة بوزنيقة 2 أو 3 طوابق,515000.0,,Terrains et Fermes,,Autre secteur,108 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
villa à marrakech,1100000.0,5.0,Maisons et Villas, TELE 06 60 65 84 05,Route d'Amezmiz,252 , 2,4,,Neuf/Premiere main,252 ,0,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui
HYPERIMMO vous propose une sublime villa,2700000.0,1.0,Maisons et Villas,,Route d'Immouzere,350 , 4,3,,1-5 ans ,350 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
joli appartement 73 m2 avec bon prix,440000.0,2.0,Appartements,,El Haddada,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
villa de haut standing sur el menzeh zaer,7400000.0,4.0,Maisons et Villas,,Autre secteur,1650 , 3,4,,Neuf/Premiere main,620 ,0,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
TERRAIN POUR SHOWROOM,11300000.0,,Terrains et Fermes, ROUTE DE TETOUAN,Makhoukha,2260 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison 97m2 2 Étage plus Retrait,2300000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Local commercial de 150 m2 Val Fleuri,2985000.0,,Magasins,,Val Fleuri,150 ,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Bureau de 98 m2 Centre ville,1421000.0,3.0,Bureaux et Plateaux, PRES DE BD MOHAMED 5,Centre ville,98 ,,1,,,,0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non
bel Apparemment 85 métrés a alhaouzia,420000.0,2.0,Appartements,,El Haouzia,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
bel appartement,360000.0,2.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Jolie Villa avec PISCINE belle vue.... Titrée,750000.0,4.0,Maisons et Villas, Ait Ourir ,Route de Ouarzazate,380 , 3,2,,6-10 ans,,0,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non
Bel appartement,2800000.0,5.0,Appartements,,Quartier des Hopitaux,222 , 3,2,5.0,11-20 ans,210 ,350,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
villa à founty,5500000.0,4.0,Maisons et Villas,,Founti,, 2,3,,,300 ,0,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui
appartement de 97 m en haut d'agdal,1900000.0,2.0,Appartements,,Agdal,97 , 1,1,2.0,6-10 ans ,97 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Ter titre 16800m2 kamouni,1400000.0,,Terrains et Fermes,,Toute la ville,1 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Des appartements luxe de 3 chambre salon Marrakech,480000.0,3.0,Appartements, Mhamid a cote de Bd Nakhil,M'Hamid,, 1,2,,Neuf/Premiere main ,120 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa sbiti,600000.0,5.0,Maisons et Villas, Sbiti km30,Route d'Ourika,1000 , 2,2,,1-5 ans,100 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non
Appartement de 103 m2,1250000.0,3.0,Appartements,,Rachidia,103 , 2,2,1.0,,103 ,0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non
villa 4 façades de 485 m2,7000000.0,5.0,Maisons et Villas, 209 monica plage,Monica,485 , 7+,3,,11-20 ans,167 ,0,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui
Appartement 2 chambre salon a Marrakech Mhamid,420000.0,3.0,Appartements, a cote de mosque chkili,M'Hamid,64 , 1,1,,Neuf/Premiere main,,0,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non
Appartement en Vente à Casablanca,1680000.0,2.0,Appartements, Residence lina 3 rue larache,C.I.L,101 , 2,2,2.0,Neuf/Premiere main,101 ,200,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Appartements à Casablanca Belvédère,1450000.0,3.0,Appartements, 10 rue de Lille,Belvedere,142 , 1,3,6.0,,142 ,200,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
Terrain à Tiznit,170000.0,,Terrains et Fermes, afrag tiznit,Toute la ville,80 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Grand appartement 101 m2 a cote de PLAZA,900000.0,3.0,Appartements, Gueliz a cote de la poste ,Gueliz,101 , 1,1,3.0,,,0,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
appartement avec 3 Façade 110 m2,500000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
villa neuve 1000m en Vente à californie,19000000.0,,Maisons et Villas,,Californie,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain R3 en Vente à Tiznit,600000.0,,Terrains et Fermes, route de Guelmim a cote depot COCACOLA ,Toute la ville,170 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Superbe Villa meublé à Ibn Battouta Tanger,2500000.0,6.0,Maisons et Villas,,Malabata,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appart de147 m vente molay yousef,1280000.0,3.0,Appartements, Rue molay yousef tanger ,Centre ville,147 , 1,2,6.0,11-20 ans,117 ,200,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui
magnifique appartement 90m2 a kenitra,410000.0,2.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
villa Ain Diab haut stg,8500000.0,4.0,Maisons et Villas, Ain Diab mall,Ain Diab,470 , 2,2,,11-20 ans,447 ,0,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
Bonne Affaire Villa de 480 m2 à Jbel Kbir,3400000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
app bien placer,420000.0,3.0,Appartements, hay chrifiya,Bouaakkaz,54 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
appartements haut standing 2 et 3 ch à l'Oasis,1710000.0,3.0,Appartements, rue de mesanges ,Oasis,90 , 1,2,,Neuf/Premiere main,,500,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Villa de 500 m² Vue Sur Mer,4800000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
etg villa piscine privè,1400000.0,4.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 74m2 à Dar Bouazza,666000.0,2.0,Appartements,,Toute la ville,74 , 1,2,1.0,Neuf/Premiere main,69 ,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non
appartement 3 chambres ould teyeb,180000.0,7.0,Appartements, oulad hamou ,Ouled Tayeb,96 ,,,1.0,1-5 ans,75 ,180000,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 62m mhamid,400000.0,3.0,Appartements,,Autre secteur,62 , 1,2,,Neuf/Premiere main,62 ,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
Appartement 74m2 Palm Garden,703000.0,2.0,Appartements,,Toute la ville,74 , 1,2,,Neuf/Premiere main,,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non
Appartement 73 m2 à Palm Garden,693500.0,2.0,Appartements,,Toute la ville,73 , 1,2,,Neuf/Premiere main,,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non
bel appartement au projet nassim,600000.0,3.0,Appartements, kenitra centre en face mal medina,Khabazat,, 1,1,3.0,1-5 ans,86 ,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui
Appartement en Vente à Kénitra,650000.0,,Appartements,,Mimosas,,,1,5.0,,,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non
Appartement 81 m2 à Dar Bouazza,850500.0,2.0,Appartements,,Toute la ville,81 , 1,2,1.0,Neuf/Premiere main,76 ,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non
bel appartement a leValon 2 façade 110 m2,680000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 92 M2 à Dar Bouazza,966000.0,3.0,Appartements,,Toute la ville,92 , 1,2,1.0,,88 ,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non
Appartement 106 M2 à Dar Bouazza,1113000.0,2.0,Appartements,,Toute la ville,106 , 1,2,1.0,,84 ,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non
appartement très chic a hedada,480000.0,2.0,Appartements,,El Haddada,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa de 400 m2 construits Oued Fès,1600000.0,5.0,Maisons et Villas,,Oued Fes,195 , 3,3,,6-10 ans,400 ,0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Des appart parking piscine ensoleillè,395000.0,4.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magnifique Villa Prés de Tanger,3300000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement en Vente à Casablanca,1600000.0,3.0,Appartements, 540,Al Fida,161 , 2,2,2.0,11-20 ans,150 ,100,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Appartement de 69 m2 centre ville Deroua,379500.0,2.0,Appartements, Lotissement Haj Tahar pres du hammam en nasser,Toute la ville,69 , 1,2,2.0,,69 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui
Terrains de 108 m2 zone immeuble centre deDeroua,594000.0,,Terrains et Fermes, Lotissement Haj Tahar pres du hammam en Nass,Toute la ville,108 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Lot de villa 406m2 à Lissasfa,3248000.0,,Terrains et Fermes, Lot Jenat El Beida,Lissasfa,406 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
magnifique appartement 90 m2 a 1ére étage,420000.0,2.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 58 m² Résidence Taddart,190000.0,3.0,Appartements,,Autre secteur,58 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison de 100 m2 Aïn Chock,6700000.0,7.0,Maisons et Villas, bd 2 mars et bd fes,Ain Chock,100 , 7+,7+,,11-20 ans ,100 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
مطعم و مقهى 260 متر,4200000.0,,Magasins,,Centre Ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
appartement 63 m2,540000.0,2.0,Appartements, Oulad salah,Toute la ville,63 , 1,2,1.0,Neuf/Premiere main,63 ,150,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
TERRAIN TITRE OULFA 99m2 R3,1485000.0,,Terrains et Fermes, OULFA GROUPE M,Oulfa,99 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement en Vente à Gueliz,900000.0,2.0,Appartements, Gueliz marrakech,Gueliz,85 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magnifique Villa 2200 m2 à Tanger,4800000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Excellente Villa Meublé à Achakar,5700000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 3 pièces 1balcon mhamid,380000.0,3.0,Appartements,,Autre secteur,56 , 1,1,2.0,Neuf/Premiere main,56 ,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui
Joli appartement 105 m2 a mahdia kenitra,520000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Jolie studio a vendre,673000.0,1.0,Appartements, Smlalia marrakech,Semlalia,56 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magasin de 128 m2 à Bouskoura,2100000.0,2.0,Magasins,,Toute la ville,128 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 65 m2 à Béni Yakhlef,250000.0,,Appartements, Louizia,Toute la ville,65 , 1,1,,,,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 70 m2 à Bouznika,250000.0,,Appartements,,Autre secteur,70 ,,,,,,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
Appartements moyens standing projet al kawtar,410000.0,2.0,Appartements, avenue abi chita el jamaai,Bir Rami,73 , 1,1,,,,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui
Appartement en Vente à Agadir - hay dakhla,883000.0,2.0,Appartements, HAY DAKHLA - RUE GHANDI - AGADIR,Hay Dakhla,127 , 1,2,3.0,Neuf/Premiere main,127 ,300,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui
Jolie Duplex a Vendre,800000.0,2.0,Appartements, Smlalia marrakech,Semlalia,84 , 1,2,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement Neuf 64m2 à Sidi Maarouf,790000.0,3.0,Appartements,,Sidi Maarouf,89 , 1,2,0.0,Neuf/Premiere main,64 ,200,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
Appartement haut standing de 198 m2 Centre,1250000.0,3.0,Appartements, Champs de courses,Centre,197 , 2,2,4.0,,197 ,0,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui
appartement sakan ennakhil,720000.0,3.0,Appartements, charih asfi pres de mc Donald route casa,Bd Moulay Abdellah,78 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 114 m2 Cap spartel,1368000.0,3.0,Appartements,,Cap spartel,114 , 1,2,2.0,Neuf/Premiere main,,0,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non
Terrain titré pour villa de 200 m2 à bouskoura,990000.0,,Terrains et Fermes,,Toute la ville,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
bel appartement 120 m2 bie situé a HAwzia,650000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Promotion Appartements à Marrakech,810000.0,3.0,Appartements,,Mabrouka,, 1,3,3.0,Neuf/Premiere main,102 ,0,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
Terrain à vendre R2 a Bouznika,576000.0,,Terrains et Fermes,,Autre secteur,120 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Apprt 2 chambres - Résidence Nour Californie,1050000.0,2.0,Appartements,,Ain Chock,83 , 1,2,0.0,6-10 ans,83 ,200,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non
Studio de 60m a Emile Zola,660000.0,1.0,Appartements, BD Emile Zola,Centre Ville,72 , 1,1,4.0,21+ ans,60 ,0,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui
Appart 1 er etage kamilia,490000.0,3.0,Appartements, kamilia en face mosque,Marjane 2,109 , 2,1,1.0,,85 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقق رائعة و محفظة بأيت ملول بتمن مناسب,420000.0,,Appartements, Ait melloul ,Autre secteur,,,,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui
Apprt Résidence fermée piscine à marina Saidia,590000.0,2.0,Appartements, Marina au bord de marjane,Toute la ville,80 , 1,1,,,,0,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui
Magasin en Vente à Ksar el-Kebir,170000.0,1.0,Magasins,,Toute la ville,26 ,,0 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rez de chaussée 116m2,1220000.0,2.0,Appartements, hay wifaq pres de la mosquee imane,Wifak,116 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
studios et magasins résidence nakhil,190000.0,1.0,Magasins,,El Haddada,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 74 m2 El Alia,555000.0,2.0,Appartements,,El Alia,74 , 1,2,1.0,Neuf/Premiere main,,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui
Appartement de 64 m2 El Alia,480000.0,1.0,Appartements,,El Alia,64 , 2,2,3.0,Neuf/Premiere main,,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui
Appartement neuf à sur Mohammedia,621000.0,2.0,Appartements,,Autre secteur,69 , 1,1,,Neuf/Premiere main,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non
Appartement de 55 m2 Autre secteur,495000.0,1.0,Appartements, Boulevard Palestine,Autre secteur,55 , 1,1,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non
bel appartement a mahdia avec bon prix,410000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 90 m2 Autre secteur,810000.0,2.0,Appartements, Boulevard Palestine,Autre secteur,90 , 1,2,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non
APPT 1 étage doha mostakbal,395000.0,2.0,Appartements, doha mostakbal ,Sidi Maarouf,50 , 1,1,1.0,6-10 ans,48 ,30,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui
Terrain pour villa 246m2 Oulad Saleh Bouskoura,735000.0,,Terrains et Fermes,,Toute la ville,246 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement NEUF,745000.0,2.0,Appartements, Avenue Mohammed Taib Naciri,Autre secteur,57 , 1,1,5.0,Neuf/Premiere main,44 ,300,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
Villa de Luxe Meublé a Nwinwiche Tanger,8500000.0,6.0,Maisons et Villas,,Malabata,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement en Vente à Marrakech,730000.0,3.0,Appartements,,Autre secteur,73 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقة تتواجد بالمهدية بمساحة 97 متر وبثمن من,460000.0,1.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Exclusif Villa 3 Niveaux Vue Sur Mer,6500000.0,6.0,Maisons et Villas,,Malabata,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 46 m2 Neuf HS Plein Coeur Maarif,850000.0,1.0,Appartements,,Maarif,46 , 1,1,2.0,Neuf/Premiere main,46 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non
Magasin 34 m2 proche Lyautey,935000.0,1.0,Magasins,,Bourgogne,,,0 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement grand et Luxueux Hay Riad- 3 façades,3050000.0,3.0,Appartements, Riad Andalouss Hay riad,Hay Riad,151 , 2,3,4.0,1-5 ans,140 ,500,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
appartement de 147 m2 a bir Rami,650000.0,3.0,Appartements,,Bir Rami,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Duplex exellent de 200 m2 Route Oued fés,800000.0,4.0,Appartements, Lotissement ryad alaymoune,Oued Fes,200 , 2,2,0.0,Neuf/Premiere main,200 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
villa,3300000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
بقع أرضية مجهزة بأولاد مبارك,270000.0,,Terrains et Fermes, 'wld mbrk bny mll,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Bureau dans immeuble résidentiel Quartier Berger,1140000.0,2.0,Bureaux et Plateaux,,Maarif,85 ,,,0.0,,,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
Appartement chic de 117 m2 Oued Fès,340000.0,2.0,Appartements, lotissement ryad alaymoune,Oued Fes,117 , 1,2,,Neuf/Premiere main,117 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non
Appartement 3 chambres Gauthier 204 M2,3600000.0,3.0,Appartements, Rue Franche Comte,Gauthier,204 , 2,2,3.0,6-10 ans,204 ,0,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
AGRÉABLE APPARTEMENT À VENDRE 122 m².,1061400.0,3.0,Appartements, Bouskour,Autre secteur,, 1,2,1.0,Neuf/Premiere main,122 ,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui
AGRÉABLE APPARTEMENT À VENDRE 115 m² - BOUSKOURA,1000500.0,3.0,Appartements, Bouskour,Autre secteur,, 1,2,2.0,Neuf/Premiere main,115 ,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui
Appartement de 3 chambres dont une suite parentale,1460500.0,3.0,Appartements,,La Siesta,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements neuf à saidia Toute la ville,360000.0,2.0,Appartements, Saidia,Toute la ville,,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقة بالطابق الرابع,240000.0,2.0,Appartements, BAB BAIDA ,Toute la ville,53 , 1,1,4.0,6-10 ans,51 ,30,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui
maison bien située a Marrakech,540000.0,2.0,Maisons et Villas, DR CHAOUF WAHAT SIDI IBRAHIM,Route de Casablanca,, 2,2,,1-5 ans,,0,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui
Appartements a vendre a Saidia proche de la plage.,400000.0,2.0,Appartements, Saidia lotisement 2,Toute la ville,, 1,1,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non
appartement de luxe bien fini a mehdia,400000.0,1.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Local commercial centre ville,5850000.0,,Magasins, NEJMA Boulevard Med 5,Centre ville,418 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement haut standing à 2 pas de la plage,1207500.0,2.0,Appartements,,La Siesta,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
